title,product_title,product_id
CLND-400-12-134 - Ilsco,98107,
YA342N - Burndy,98108,
CLND-500-12-134 - Ilsco,98108,
YA342TC38 - Burndy,98108A,
CLND-500-38-1 - Ilsco,98108A,
YA362TC38 - Burndy,98109,
CLND-600-12-134 - Ilsco,98109,
YA362N - Burndy,98109A,
CLND-600-38-1 - Ilsco,98109A,
YA392N - Burndy,98110,
CLND-750-12-134 - Ilsco,98110,
YA392TC38 - Burndy,98110A,
CLND-750-38-1 - Ilsco,98110A,
YA442N - Burndy,98110B,
YS8C-L-BOX - Burndy,98111,
CT-8 - Ilsco,98111,
YS6C-L-BOX - Burndy,98112,
CT-6 - Ilsco,98112,
YS4C-L-BOX - Burndy,98113,
CT-4 - Ilsco,98113,
YS3C-L-BOX - Burndy,98113A,
CT-3 - Ilsco,98113A,
CLND-1000-12-134 - Ilsco,98110B,
YS2C-L-BOX - Burndy,98114,
CT-2 - Ilsco,98114,
YS1C-L-BOX - Burndy,98115,
CT-1 - Ilsco,98115,
YS25-L-BOX - Burndy,98116,
CT-1/0 - Ilsco,98116,
YS26-L-BOX - Burndy,98117,
CT-2/0 - Ilsco,98117,
YS27-L-BOX - Burndy,98118,
CT-3/0 - Ilsco,98118,
YS28-L-BOX - Burndy,98119,
CT-4/0 - Ilsco,98119,
YS29-L-BOX - Burndy,98120,
CT-250 - Ilsco,98120,
YS30-L - Burndy,98121,
CT-300 - Ilsco,98121,
CT-350 - Ilsco,98122,
YS31-L - Burndy,98122,
YS32-L - Burndy,98123,
CT-400 - Ilsco,98123,
YS34-L - Burndy,98124,
CT-500 - Ilsco,98124,
YS36-L - Burndy,98125,
CT-600 - Ilsco,98125,
YS39-L - Burndy,98126,
CT-750 - Ilsco,98126,
YS8C - Burndy,98127,
CTL-8 - Ilsco,98127,
YS6C - Burndy,98128,
CTL-6 - Ilsco,98128,
YS4C - Burndy,98129,
CTL-4 - Ilsco,98129,
YS2C - Burndy,98130,
CTL-2 - Ilsco,98130,
YS1C - Burndy,98131,
CTL-1 - Ilsco,98131,
YS25 - Burndy,98132,
CTL-1/0 - Ilsco,98132,
YS26 - Burndy,98133,
BBCU-2/0 - Penn Union,98133,
YS27 - Burndy,98134,
CTL-3/0 - Ilsco,98134,
YS28 - Burndy,98135,
CTL-4/0 - Ilsco,98135,
YS29 - Burndy,98136,
CTL-250 - Ilsco,98136,
YS30 - Burndy,98137,
CTL-300 - Ilsco,98137,
YS31 - Burndy,98138,
CTL-350 - Ilsco,98138,
YS32 - Burndy,98139,
CTL-400 - Ilsco,98139,
YS34 - Burndy,98140,
CTL-500 - Ilsco,98140,
YS36 - Burndy,98141,
CTL-600 - Ilsco,98141,
YS39 - Burndy,98142,
CTL-750 - Ilsco,98142,
ALNS-6-14 - Ilsco,98502,
YA6CA1 - Burndy,98502,
YA4CA1 - Burndy,98505,
ALNS-4-14 - Ilsco,98505,
YA4CA3 - Burndy,98506,
ACN-4 - Ilsco,98506,
YA4CA6 - Burndy,98507,
YA2CA5 - Burndy,98508,
ALNS-2-14 - Ilsco,98508,
YA2CA1 - Burndy,98509,
ACN-2 - Ilsco,98509,
YA2CA3 - Burndy,98510,
ALNS-1-14 - Ilsco,98511,
ACN-1 - Ilsco,98512,
YA1CA1 - Burndy,98513,
YA25A1 - Burndy,98515,
ACN-1/0 - Ilsco,98515,
YA25A3 - Burndy,98516,
ALNS-1/0-38 - Ilsco,98516,
YA25A9 - Burndy,98517,
YA26A6 - Burndy,98520,
ALNS-2/0-38 - Ilsco,98520,
YA26A1 - Burndy,98521,
ALNS-2/0-12 - Ilsco,98521,
YA27A1 - Burndy,98524,
ALNS-3/0-38 - Ilsco,98524,
YA27A3 - Burndy,98525,
ALNS-3/0-12 - Ilsco,98525,
YA28A1 - Burndy,98528,
ALNS-4/0-38 - Ilsco,98528,
YA28A3 - Burndy,98529,
ALNS-4/0-12 - Ilsco,98529,
YA29A9 - Burndy,98530,
YA29A1 - Burndy,98531,
ALNS-250-12 - Ilsco,98531,
YA30A6 - Burndy,98532,
YA30A1 - Burndy,98533,
ALNS-300-12 - Ilsco,98533,
YA31A1 - Burndy,98535,
ALNS-350-12 - Ilsco,98535,
YA32A9 - Burndy,98536,
YA32A3 - Burndy,98537,
ALNS-400-12 - Ilsco,98537,
ALNS-500-12 - Ilsco,98539,
YA34A1 - Burndy,98540,
ALNS-600-12 - Ilsco,98541,
YA36A1 - Burndy,98542,
YA39A1 - Burndy,98543,
YA39A3 - Burndy,98544,
ALNS-700/750-58 - Ilsco,98544,
YA25A5 - Burndy,98545,
2ACL-1/0 - Ilsco,98545,
YA25A7 - Burndy,98546,
ALND-4/0-12-134 - Ilsco,98546,
BLUA-2/0D - Penn Union,98547,
ALND-2/0-12-134 - Ilsco,98547,
YA27A5 - Burndy,98548,
2ACL-3/0 - Ilsco,98548,
YA28A5 - Burndy,98549,
ALND-4/0-12-134 - Ilsco,98549,
YA29A3 - Burndy,98550,
ALND-250-12-134 - Ilsco,98550,
YA30A3 - Burndy,98551,
ALND-300-12-134 - Ilsco,98551,
YA31A3 - Burndy,98552,
ALND-350-12-134 - Ilsco,98552,
YA32A3 - Burndy,98553,
ALND-400-12-134 - Ilsco,98553,
YA34A3 - Burndy,98554,
2ACL-500 - Ilsco,98554,
YA36A3 - Burndy,98555,
2ACL-600 - Ilsco,98555,
YA39A5 - Burndy,98556,
2ACL-750 - Ilsco,98556,
YA44A3 - Burndy,98557,
2ACL-1000 - Ilsco,98557,
YS8CA1 - Burndy,98558A,
AS-8 - Ilsco,98558A,
YS6CA1 - Burndy,98558,
AS-6 - Ilsco,98558,
YS4CA1 - Burndy,98559,
AS-4 - Ilsco,98559,
YS2CA1 - Burndy,98560,
AS-2 - Ilsco,98560,
YS1CA1 - Burndy,98561,
AS-1 - Ilsco,98561,
YS25A1 - Burndy,98562,
AS-1/0 - Ilsco,98562,
YS26A1 - Burndy,98563,
AS-2/0 - Ilsco,98563,
YS27A1 - Burndy,98564,
AS-3/0 - Ilsco,98564,
YS28A1 - Burndy,98565,
AS-4/0 - Ilsco,98565,
YS29A1 - Burndy,98566,
AS-250 - Ilsco,98566,
YS30A1 - Burndy,98567,
AS-300 - Ilsco,98567,
YS31A1 - Burndy,98568,
AS-350 - Ilsco,98568,
YS32A1 - Burndy,98569,
AS-400 - Ilsco,98569,
YS34A1 - Burndy,98570,
AS-500 - Ilsco,98570,
YS36A1 - Burndy,98571,
AS-600 - Ilsco,98571,
AS-750 - Ilsco,98572,
YS44A1 - Burndy,98573,
AS-1000 - Ilsco,98573,
C11K16D - Burndy,22311A,
BGC-2P-DB - Ilsco,22311A,
JDLI - ABB,22311A,
KPL-1-DB - Penn-Union,22311A,
KPL-1-4/0-DB - Penn-Union,22313,
KPL-2-4/0-DB - Penn-Union,22313A,
KPL-4-4/0-DB - Penn-Union,22313B,
C11K17D - Burndy,22311B,
BGC-2T-DB - Ilsco,22311B,
KPL-1-DB-90 - Penn-Union,22311B,
BGC-4/0S-DB - Ilsco,22312,
KPH1DB - Penn-Union,22312,
KR3DB - Penn-Union,22314,
KR4DB - Penn-Union,22315,
C-11N - Burndy,OE-01,
BGC-1 - Ilsco,OE-01,
KG-2-NH - Penn-Union,OE-01,
BGC-2 - Ilsco,OE-02,
J2BB - ABB,OE-02,
KG-1-NH - Penn-Union,OE-02,
C-11B - Burndy,OE-01B,
KG-1-DB-NH - Penn-Union,OE-01B,
KG-2-DB-NH - Penn-Union,OE-02B,
C-11D - Burndy,OE01-DB,
BGC-1DB - Ilsco,OE01-DB,
JD - ABB,OE01-DB,
KP1-DB - Penn-Union,OE01-DB,
C-22D - Burndy,OE02-DB,
BGC-2DB - Ilsco,OE02-DB,
J2D - ABB,OE02-DB,
KP-2DB - Penn-Union,OE02-DB,
C-11JPT - Burndy,50001,
KG-1 - Penn-Union,50001,
C-22JPT - Burndy,50002,
KG-2 - Penn-Union,50002,
C-4JPT - Burndy,50003,
KG-3 - Penn-Union,50003,
KG-4 - Penn-Union,50004,
C11HD4/0DB - Burndy,50001B,
KG-1-DB - Penn-Union,50001B,
C22HD4/0DB - Burndy,50002B,
KG-2-DB - Penn-Union,50002B,
KG-3-DB - Penn-Union,50003B,
KG-4-DB - Penn-Union,50004B,
C-61 - Burndy,50011,
BGC-1A - Ilsco,50011,
C-66 - Burndy,50012,
1-1/4–2 - Ilsco,50012,
C-11LH-1 - Burndy,50031,
JP-12 - ABB,50031,
KH-1 - Penn-Union,50031,
C-22LH-1 - Burndy,50032,
JP-212 - ABB,50032,
KH-2 - Penn-Union,50032,
C-4LH-1 - Burndy,50033,
JP-212412 - ABB,50033,
KH-4 - Penn-Union,50033,
C-11LH-2 - Burndy,50034,
JP-34 - ABB,50034,
C-22LH-2 - Burndy,50035,
JP-234 - ABB,50035,
C-4LH-2 - Burndy,50036,
JP-212434 - ABB,50036,
C-11LH-3 - Burndy,50037,
JP-1 - ABB,50037,
C-22LH-3 - Burndy,50038,
JP-21 - ABB,50038,
C-4LH-3 - Burndy,50039,
JP-21241 - ABB,50039,
CH12 - ABB,50031H,
KCH-12 - Penn-Union,50031H,
CH34 - ABB,50034H,
KCH-34 - Penn-Union,50034H,
CH1BB - ABB,50037H,
KCH-1 - Penn-Union,50037H,
GC15A - Burndy,22101,
AGC-1 - Ilsco,22101,
AJ - ABB,22101,
GC1 - Penn-Union,22101,
GC18A - Burndy,22102,
AJ-2 - ABB,22102,
GCL2 - Penn-Union,22102,
GC22A - Burndy,22103,
AJ-2124 - ABB,22103,
GLC-4 - Penn-Union,22103,
BGC1-50 - Ilsco,22301,
BGC1-75 - Ilsco,22302,
BGC1-10 - Ilsco,22303,
BGC2-50 - Ilsco,22304,
